,Unnamed: 0,# of alphabetic,# of digits,# of numbers,% constraining,% litigious,% modal moderate,% modal strong,% modal-weak,% negative,% positive,% uncertainty,average word length,avg # of syllables per word,cik,co_conm,co_tic,company name,conformed period of report,date as of change,excess_return,file name,file size,filed as of date,number of words,vocabulary
26,26,370383,8368,2972,0,0,0,0,0,2.355731225296443,5.416600790513834,0,4.843162055335967,0,1403161,VISA INC,v,VISA INC.,20160930,20161115,0.02923722462979824,../Data/filtered_textdata/2016/QTR4/20161115_10-K_edgar_data_1403161_0001403161-16-000058_1.txt,479523,2016-11-15,31625,1160
27,27,259809,5310,1775,0,0,0,0,0,1.831536773824287,4.907946198607268,0,4.657302298960222,0,320193,APPLE INC,aapl,APPLE INC,20160924,20161026,-0.01899391662016882,../Data/filtered_textdata/2016/QTR4/20161026_10-K_edgar_data_320193_0001628280-16-020309_1.txt,332421,2016-10-26,20966,917
0,0,478594,8421,2972,0,0,0,0,0,2.040368582711716,5.33128565160158,0,4.66564282580079,0,104169,WALMART INC,wmt,WAL MART STORES INC,20170131,20170331,-0.01352642651462448,../Data/filtered_textdata/2017/QTR1/20170331_10-K_edgar_data_104169_0000104169-17-000021_1.txt,620441,2017-03-31,41022,1246
1,1,244945,6173,2020,0,0,0,0,0,1.935387077415483,5.516103220644128,0,4.855171034206841,0,63908,MCDONALD'S CORP,mcd,MCDONALDS CORP,20161231,20170301,-0.01547834538164651,../Data/filtered_textdata/2017/QTR1/20170301_10-K_edgar_data_63908_0000063908-17-000017_1.txt,318995,2017-03-01,19996,971
2,2,285075,6284,2201,0,0,0,0,0,1.542623884564268,7.988418454528193,0,4.901319536738182,0,731766,UNITEDHEALTH GROUP INC,unh,UNITEDHEALTH GROUP INC,20161231,20170208,0.002882084228589319,../Data/filtered_textdata/2017/QTR1/20170208_10-K_edgar_data_731766_0000731766-17-000009_1.txt,374743,2017-02-08,21068,1070
3,3,952620,12951,4677,0,0,0,0,0,2.632601906089567,5.482353256571453,0,4.711888261866145,0,19617,JPMORGAN CHASE & CO,jpm,JPMORGAN CHASE & CO,20161231,20170228,0.01622854722601294,../Data/filtered_textdata/2017/QTR1/20170228_10-K_edgar_data_19617_0000019617-17-000314_1.txt,1223266,2017-02-28,74603,1395
4,4,408197,10444,3556,0,0,0,0,0,1.953717211590721,4.960096112589033,0,4.817214451214278,0,12927,BOEING CO,ba,BOEING CO,20161231,20170208,0.01789231700757154,../Data/filtered_textdata/2017/QTR1/20170208_10-K_edgar_data_12927_0000012927-17-000006_1.txt,531492,2017-02-08,34959,1082
5,5,300415,11315,3675,0,0,0,0,0,2.2869523350987,4.184721553522709,0,4.680950088268336,0,93410,CHEVRON CORP,cvx,CHEVRON CORP,20161231,20170223,0.005699875247691014,../Data/filtered_textdata/2017/QTR1/20170223_10-K_edgar_data_93410_0000093410-17-000013_1.txt,397095,2017-02-23,24924,1054
6,6,570543,14215,4982,0,0,0,0,0,1.529025382256346,4.702351175587794,0,4.76697044174261,0,51143,INTL BUSINESS MACHINES CORP,ibm,INTERNATIONAL BUSINESS MACHINES CORP,20161231,20170228,-0.006264600730556609,../Data/filtered_textdata/2017/QTR1/20170228_10-K_edgar_data_51143_0001047469-17-001061_1.txt,751365,2017-02-28,45977,1324
7,7,1262433,18249,6730,0,0,0,0,0,3.24280060051863,5.793185023429325,0,4.846249033255995,0,86312,TRAVELERS COS INC,trv,"TRAVELERS COMPANIES, INC.",20161231,20170216,-0.006640146097736844,../Data/filtered_textdata/2017/QTR1/20170216_10-K_edgar_data_86312_0001047469-17-000695_1.txt,1637235,2017-02-16,109905,1505
