file name,"file size,","number of words,",weighted-FIN-NEG,weighted-H4N-INF
D:/CHX/fall2020/NLP/HW/1/all\AT&T INC20120224_10-K_edgar_data_732717_0000732717-12-000025_1.txt,1791732,257125,0.181622637,0.096029253
D:/CHX/fall2020/NLP/HW/1/all\AT&T INC20130222_10-K_edgar_data_732717_0000732717-13-000017_1.txt,609848,86223,0.217671676,0.103424312
D:/CHX/fall2020/NLP/HW/1/all\AT&T INC20140221_10-K_edgar_data_732717_0000732717-14-000010_1.txt,1009780,143144,0.153808918,0.093167883
D:/CHX/fall2020/NLP/HW/1/all\AT&T INC20150220_10-K_edgar_data_732717_0000732717-15-000016_1.txt,397527,55103,0.16039971,0.097740218
D:/CHX/fall2020/NLP/HW/1/all\AT&T INC20160218_10-K_edgar_data_732717_0000732717-16-000147_1.txt,497581,68666,0.18435723,0.104824837
D:/CHX/fall2020/NLP/HW/1/all\AT&T INC20170217_10-K_edgar_data_732717_0000732717-17-000021_1.txt,706776,98426,0.223668929,0.114420664
D:/CHX/fall2020/NLP/HW/1/all\AT&T INC20180220_10-K_edgar_data_732717_0000732717-18-000009_1.txt,629042,88760,0.205785454,0.105659044
D:/CHX/fall2020/NLP/HW/1/all\axp20190213_10-K_edgar_data_4962_0000004962-19-000018_1.txt,578733,75658,0.310305939,0.146054877
D:/CHX/fall2020/NLP/HW/1/all\ba20190208_10-K_edgar_data_12927_0000012927-19-000010_1.txt,364922,46313,0.207758504,0.112507449
D:/CHX/fall2020/NLP/HW/1/all\BANK OF AMERICA CORP20100226_10-K_edgar_data_70858_0001193125-10-041666_1.txt,2623089,353418,0.24897172,0.111302558
D:/CHX/fall2020/NLP/HW/1/all\BANK OF AMERICA CORP20110225_10-K_edgar_data_70858_0000950123-11-018743_1.txt,1791618,225755,0.363401369,0.141897063
D:/CHX/fall2020/NLP/HW/1/all\BANK OF AMERICA CORP20120223_10-K_edgar_data_70858_0000070858-12-000155_1.txt,1688176,212880,0.38510814,0.138767866
D:/CHX/fall2020/NLP/HW/1/all\BANK OF AMERICA CORP20130228_10-K_edgar_data_70858_0000070858-13-000097_1.txt,1546653,196785,0.39842511,0.142124229
D:/CHX/fall2020/NLP/HW/1/all\BANK OF AMERICA CORP20140225_10-K_edgar_data_70858_0000070858-14-000012_1.txt,1271202,159649,0.380959353,0.138033567
D:/CHX/fall2020/NLP/HW/1/all\BANK OF AMERICA CORP20150225_10-K_edgar_data_70858_0000070858-15-000008_1.txt,1155540,152507,0.371343523,0.135545412
D:/CHX/fall2020/NLP/HW/1/all\BANK OF AMERICA CORP20160224_10-K_edgar_data_70858_0000070858-16-000137_1.txt,2314932,331251,0.227909721,0.117547741
D:/CHX/fall2020/NLP/HW/1/all\BANK OF AMERICA CORP20170223_10-K_edgar_data_70858_0000070858-17-000013_1.txt,870935,114766,0.353092668,0.13826764
D:/CHX/fall2020/NLP/HW/1/all\BANK OF AMERICA CORP20180222_10-K_edgar_data_70858_0000070858-18-000009_1.txt,790911,104035,0.345384736,0.136805172
D:/CHX/fall2020/NLP/HW/1/all\BOEING CO20100208_10-K_edgar_data_12927_0001193125-10-024406_1.txt,394742,50400,0.302203943,0.137564378
D:/CHX/fall2020/NLP/HW/1/all\BOEING CO20110209_10-K_edgar_data_12927_0001193125-11-028490_1.txt,386057,49560,0.261888931,0.11310074
D:/CHX/fall2020/NLP/HW/1/all\BOEING CO20120209_10-K_edgar_data_12927_0001193125-12-048565_1.txt,359478,45814,0.248619519,0.113561498
D:/CHX/fall2020/NLP/HW/1/all\BOEING CO20130211_10-K_edgar_data_12927_0000012927-13-000014_1.txt,344180,44761,0.254359268,0.110476581
D:/CHX/fall2020/NLP/HW/1/all\BOEING CO20140214_10-K_edgar_data_12927_0000012927-14-000004_1.txt,412485,54077,0.238142913,0.111793728
D:/CHX/fall2020/NLP/HW/1/all\BOEING CO20150212_10-K_edgar_data_12927_0000012927-15-000011_1.txt,339409,44011,0.225203658,0.10525487
D:/CHX/fall2020/NLP/HW/1/all\BOEING CO20160210_10-K_edgar_data_12927_0000012927-16-000099_1.txt,450771,59481,0.242352325,0.112531462
D:/CHX/fall2020/NLP/HW/1/all\BOEING CO20170208_10-K_edgar_data_12927_0000012927-17-000006_1.txt,531492,71879,0.244868819,0.114557331
D:/CHX/fall2020/NLP/HW/1/all\BOEING CO20180212_10-K_edgar_data_12927_0000012927-18-000007_1.txt,317786,41577,0.205738215,0.104501691
D:/CHX/fall2020/NLP/HW/1/all\CATERPILLAR INC20190214_10-K_edgar_data_18230_0000018230-19-000034_1.txt,526605,64325,0.241610807,0.119043652
D:/CHX/fall2020/NLP/HW/1/all\CATERPILLAR INC20100219_10-K_edgar_data_18230_0000018230-10-000092_1.txt,679447,84900,0.241486539,0.1332913
D:/CHX/fall2020/NLP/HW/1/all\CATERPILLAR INC20110222_10-K_edgar_data_18230_0001104659-11-008938_1.txt,779895,97714,0.228456956,0.128633502
D:/CHX/fall2020/NLP/HW/1/all\CATERPILLAR INC20120221_10-K_edgar_data_18230_0001104659-12-011331_1.txt,605049,74298,0.211571692,0.126639615
D:/CHX/fall2020/NLP/HW/1/all\CATERPILLAR INC20130219_10-K_edgar_data_18230_0000018230-13-000075_1.txt,840104,109100,0.214866749,0.11857354
D:/CHX/fall2020/NLP/HW/1/all\CATERPILLAR INC20140218_10-K_edgar_data_18230_0000018230-14-000058_1.txt,843987,109183,0.234000907,0.121136638
D:/CHX/fall2020/NLP/HW/1/all\CATERPILLAR INC20150217_10-K_edgar_data_18230_0000018230-15-000061_1.txt,936797,123318,0.246161625,0.128793054
D:/CHX/fall2020/NLP/HW/1/all\CATERPILLAR INC20160216_10-K_edgar_data_18230_0000018230-16-000410_1.txt,511062,64891,0.267995568,0.132606481
D:/CHX/fall2020/NLP/HW/1/all\CATERPILLAR INC20170215_10-K_edgar_data_18230_0000018230-17-000041_1.txt,606965,79272,0.271578482,0.137613553
D:/CHX/fall2020/NLP/HW/1/all\CATERPILLAR INC20180215_10-K_edgar_data_18230_0000018230-18-000042_1.txt,489169,61494,0.249722063,0.117510922
D:/CHX/fall2020/NLP/HW/1/all\CHEVRON CORP20100225_10-K_edgar_data_93410_0000950123-10-016846_1.txt,499206,65409,0.14848775,0.144255842
D:/CHX/fall2020/NLP/HW/1/all\CHEVRON CORP20110224_10-K_edgar_data_93410_0000950123-11-017688_1.txt,504079,65508,0.15191712,0.145217707
D:/CHX/fall2020/NLP/HW/1/all\CHEVRON CORP20120223_10-K_edgar_data_93410_0000950123-12-002976_1.txt,448448,58233,0.13653863,0.143452839
D:/CHX/fall2020/NLP/HW/1/all\CHEVRON CORP20130222_10-K_edgar_data_93410_0000093410-13-000003_1.txt,442829,56598,0.13393735,0.144948977
D:/CHX/fall2020/NLP/HW/1/all\CHEVRON CORP20140221_10-K_edgar_data_93410_0000093410-14-000011_1.txt,446576,57304,0.152978701,0.146987166
D:/CHX/fall2020/NLP/HW/1/all\CHEVRON CORP20150220_10-K_edgar_data_93410_0000093410-15-000010_1.txt,439987,56999,0.168183727,0.143192753
D:/CHX/fall2020/NLP/HW/1/all\CHEVRON CORP20160225_10-K_edgar_data_93410_0000093410-16-000049_1.txt,386828,49992,0.166076142,0.158598771
D:/CHX/fall2020/NLP/HW/1/all\CHEVRON CORP20170223_10-K_edgar_data_93410_0000093410-17-000013_1.txt,397095,51207,0.171019698,0.164749576
D:/CHX/fall2020/NLP/HW/1/all\CHEVRON CORP20180222_10-K_edgar_data_93410_0000093410-18-000010_1.txt,398406,51354,0.169097783,0.159684306
D:/CHX/fall2020/NLP/HW/1/all\CISCO SYSTEMS INC20100921_10-K_edgar_data_858877_0001193125-10-213400_1.txt,973589,136097,0.175741171,0.092417535
D:/CHX/fall2020/NLP/HW/1/all\CISCO SYSTEMS INC20110914_10-K_edgar_data_858877_0001193125-11-247394_1.txt,831803,115563,0.196464263,0.104963436
D:/CHX/fall2020/NLP/HW/1/all\CISCO SYSTEMS INC20120912_10-K_edgar_data_858877_0001193125-12-388590_1.txt,871776,122023,0.191363463,0.102876227
D:/CHX/fall2020/NLP/HW/1/all\CISCO SYSTEMS INC20130910_10-K_edgar_data_858877_0000858877-13-000049_1.txt,1037970,143505,0.20306341,0.106117294
D:/CHX/fall2020/NLP/HW/1/all\CISCO SYSTEMS INC20140909_10-K_edgar_data_858877_0000858877-14-000029_1.txt,489209,63908,0.244290901,0.124241056
D:/CHX/fall2020/NLP/HW/1/all\CISCO SYSTEMS INC20150908_10-K_edgar_data_858877_0000858877-15-000070_1.txt,966700,135638,0.186814231,0.101265996
D:/CHX/fall2020/NLP/HW/1/all\CISCO SYSTEMS INC20160908_10-K_edgar_data_858877_0000858877-16-000117_1.txt,1050332,147855,0.189808593,0.102878872
D:/CHX/fall2020/NLP/HW/1/all\CISCO SYSTEMS INC20170907_10-K_edgar_data_858877_0000858877-17-000016_1.txt,1085108,154559,0.186367228,0.102404939
D:/CHX/fall2020/NLP/HW/1/all\CISCO SYSTEMS INC20180906_10-K_edgar_data_858877_0000858877-18-000011_1.txt,1141703,163782,0.185262948,0.103477528
D:/CHX/fall2020/NLP/HW/1/all\CITIGROUP INC20100226_10-K_edgar_data_831001_0001206774-10-000406_1.txt,1104724,140926,0.255689638,0.126255968
D:/CHX/fall2020/NLP/HW/1/all\CITIGROUP INC20110225_10-K_edgar_data_831001_0001206774-11-000316_1.txt,1091727,143305,0.282487947,0.13978844
D:/CHX/fall2020/NLP/HW/1/all\CITIGROUP INC20120224_10-K_edgar_data_831001_0001206774-12-000799_1.txt,1084889,139442,0.283784722,0.135378084
D:/CHX/fall2020/NLP/HW/1/all\CITIGROUP INC20130301_10-K_edgar_data_831001_0001206774-13-000852_1.txt,1662900,220497,0.235032215,0.11745824
D:/CHX/fall2020/NLP/HW/1/all\CITIGROUP INC20140303_10-K_edgar_data_831001_0001104659-14-015152_1.txt,1782611,243348,0.225931187,0.114298872
D:/CHX/fall2020/NLP/HW/1/all\CITIGROUP INC20150225_10-K_edgar_data_831001_0000831001-15-000043_1.txt,1045745,134825,0.269729022,0.1325233
D:/CHX/fall2020/NLP/HW/1/all\CITIGROUP INC20160226_10-K_edgar_data_831001_0000831001-16-000235_1.txt,1945611,269927,0.212054699,0.11004635
D:/CHX/fall2020/NLP/HW/1/all\CITIGROUP INC20170224_10-K_edgar_data_831001_0000831001-17-000038_1.txt,945693,121704,0.260508205,0.12766292
D:/CHX/fall2020/NLP/HW/1/all\CITIGROUP INC20180223_10-K_edgar_data_831001_0000831001-18-000040_1.txt,916395,118698,0.258948408,0.131906588
D:/CHX/fall2020/NLP/HW/1/all\COCA-COLA CO20100226_10-K_edgar_data_21344_0001047469-10-001476_1.txt,628859,84976,0.190413206,0.103917511
D:/CHX/fall2020/NLP/HW/1/all\COCA-COLA CO20110228_10-K_edgar_data_21344_0001047469-11-001506_1.txt,852432,114697,0.177218078,0.089748619
D:/CHX/fall2020/NLP/HW/1/all\COCA-COLA CO20120223_10-K_edgar_data_21344_0000021344-12-000007_1.txt,786512,106755,0.177537648,0.09096152
D:/CHX/fall2020/NLP/HW/1/all\COCA-COLA CO20130227_10-K_edgar_data_21344_0000021344-13-000007_1.txt,871345,119091,0.189788117,0.097377805
D:/CHX/fall2020/NLP/HW/1/all\COCA-COLA CO20140227_10-K_edgar_data_21344_0000021344-14-000008_1.txt,644109,87111,0.177728942,0.095722661
D:/CHX/fall2020/NLP/HW/1/all\COCA-COLA CO20150225_10-K_edgar_data_21344_0000021344-15-000005_1.txt,684399,92993,0.176225009,0.112994802
D:/CHX/fall2020/NLP/HW/1/all\COCA-COLA CO20160225_10-K_edgar_data_21344_0000021344-16-000050_1.txt,672982,91429,0.18723691,0.131636869
D:/CHX/fall2020/NLP/HW/1/all\COCA-COLA CO20170224_10-K_edgar_data_21344_0000021344-17-000009_1.txt,661339,89296,0.182368102,0.12921779
D:/CHX/fall2020/NLP/HW/1/all\COCA-COLA CO20180223_10-K_edgar_data_21344_0000021344-18-000008_1.txt,667065,89694,0.186144161,0.123617885
D:/CHX/fall2020/NLP/HW/1/all\csco20190905_10-K_edgar_data_858877_0000858877-19-000012_1.txt,432487,56500,0.298520973,0.151975466
D:/CHX/fall2020/NLP/HW/1/all\cvx20190222_10-K_edgar_data_93410_0000093410-19-000008_1.txt,421105,50966,0.182325195,0.171278052
