file name,file size,company name,conformed period of report,filed as of date,date as of change,number of words,% positive,% negative,% uncertainty,% litigious,% modal-weak,% modal moderate,% modal strong,% constraining,# of alphabetic,# of digits,# of numbers,avg # of syllables per word,average word length,vocabulary
G:/NLP-P1-Textdata/2012/QTR2/20120402_10-K-A_edgar_data_1053439_0001193125-12-146436_1.txt,349488,STANADYNE CORP,20111231,20120402,20120402,44503,0.7347819248140575,1.4493404938992875,0.9729681145091342,0.970721074983709,0.3864907983731434,0.3055973754578343,0.213468754915399,0.6988292924072534,264720,10376,3294,1.8936476192616227,5.57854526661124,2854
G:/NLP-P1-Textdata/2012/QTR2/20120402_10-K-A_edgar_data_1158419_0001193125-12-146413_1.txt,19724,SPEEDEMISSIONS INC,20111231,20120402,20120402,2225,0.0449438202247191,0.8988764044943821,0.1797752808988764,1.2584269662921348,0.1797752808988764,0.2696629213483146,0.1797752808988764,0.5393258426966292,13520,1015,271,1.8170786516853932,5.333033707865169,438
G:/NLP-P1-Textdata/2012/QTR2/20120402_10-K-A_edgar_data_1170650_0001193125-12-144876_1.txt,159747,MEDCO HEALTH SOLUTIONS INC,20111231,20120402,20120402,20584,0.8696074621064904,1.1805285658764089,0.4420909444228527,0.8890400310921105,0.1360279828993393,0.31577924601632335,0.2137582588418189,0.8550330353672756,120801,4044,1290,1.8365235134084725,5.472065682083171,1957
G:/NLP-P1-Textdata/2012/QTR2/20120402_10-K-A_edgar_data_1229195_0001144204-12-019271_1.txt,15893,"HORNE INTERNATIONAL, INC.",20111225,20120402,20120402,1938,0.20639834881320948,1.08359133126935,0.20639834881320948,1.1867905056759547,0.10319917440660474,0.3611971104231166,0.10319917440660474,0.46439628482972134,11418,692,192,1.8462332301341589,5.461816305469556,426
G:/NLP-P1-Textdata/2012/QTR2/20120402_10-K-A_edgar_data_12400_0000012400-12-000007_1.txt,10610,BLACK HILLS POWER INC,20111231,20120402,20120402,1265,0.07905138339920949,0.6324110671936759,0.07905138339920949,1.185770750988142,0.0,0.07905138339920949,0.15810276679841898,0.7114624505928854,7321,514,141,1.7501976284584981,5.276679841897233,339
G:/NLP-P1-Textdata/2012/QTR2/20120402_10-K-A_edgar_data_1276477_0001193125-12-144201_1.txt,5975,MORRIS PUBLISHING GROUP LLC,20111231,20120402,20120330,667,0.14992503748125938,0.4497751124437781,0.14992503748125938,1.9490254872563717,0.14992503748125938,0.0,0.29985007496251875,1.199400299850075,3856,421,112,1.7031484257871063,5.119940029985007,220
G:/NLP-P1-Textdata/2012/QTR2/20120402_10-K-A_edgar_data_1323274_0001193125-12-146436_1.txt,349488,STANADYNE CORP,20111231,20120402,20120402,44503,0.7347819248140575,1.4493404938992875,0.9729681145091342,0.970721074983709,0.3864907983731434,0.3055973754578343,0.213468754915399,0.6988292924072534,264720,10376,3294,1.8936476192616227,5.57854526661124,2854
G:/NLP-P1-Textdata/2012/QTR2/20120402_10-K-A_edgar_data_1419242_0001104659-12-022997_1.txt,119783,ATLANTIC POWER CORP,20111231,20120402,20120402,14024,0.16400456360524815,0.8770678836280662,0.7915002852253281,0.7986309184255562,0.18539646320593267,0.2139189960068454,0.22104962920707358,0.6417569880205363,85250,4008,1327,1.9418853394181403,5.7101397604107245,1314
G:/NLP-P1-Textdata/2012/QTR2/20120402_10-K-A_edgar_data_1424549_0001424549-12-000002_1.txt,80703,"FOREVER VALUABLE COLLECTIBLES, INC.",20111231,20120402,20120402,10879,0.6710175567607317,0.965162239176395,1.185770750988142,0.6158654288077948,0.5055611729019212,0.3952569169960474,0.7261696847136685,0.6618255354352423,61464,2195,667,1.8327971320893464,5.386524496736833,1682
G:/NLP-P1-Textdata/2012/QTR2/20120402_10-K-A_edgar_data_1429373_0001144204-12-019473_1.txt,16162,"EASTERN RESOURCES, INC.",20111231,20120402,20120402,1927,0.10378827192527244,0.6227296315516346,0.3632589517384536,1.2973533990659056,0.3113648157758173,0.2075765438505449,0.15568240788790866,0.6227296315516346,11279,861,249,1.8261546445251686,5.350285417747794,456
