file name,file size,company name,conformed period of report,filed as of date,date as of change,number of words,% positive,% negative,% uncertainty,% litigious,% modal-weak,% modal moderate,% modal strong,% constraining,# of alphabetic,# of digits,# of numbers,avg # of syllables per word,average word length,vocabulary
G:/NLP-P1-Textdata/2014/QTR4/20141001_10-K-A_edgar_data_1112985_0001213900-14-007021_1.txt,171859,DELTA INTERNATIONAL OIL & GAS INC.,20131231,20141001,20140930,23102,0.354947624,1.415461865,1.0691715,1.601592936,0.510778288,0.216431478,0.38524803,0.78348195,132956,4367,1361,1.820621591,5.339754134,2406
G:/NLP-P1-Textdata/2014/QTR4/20141001_10-K-A_edgar_data_1408956_0001213900-14-007059_1.txt,69365,GRAND CHINA ENERGY GROUP LTD,20131231,20141001,20141001,8695,0.241518114,1.138585394,0.586543991,0.598044853,0.057504313,0.299022427,0.080506038,0.701552616,51432,2437,737,1.902242668,5.546635998,1192
G:/NLP-P1-Textdata/2014/QTR4/20141001_10-K-A_edgar_data_1516522_0001014897-14-000414_1.txt,146613,PRIMCO MANAGEMENT INC.,20131231,20141001,20140930,18573,0.285360469,1.265277553,1.033758682,0.850697249,0.290744629,0.161524794,0.285360469,0.344586227,106615,5859,1632,1.844236257,5.356377537,1900
G:/NLP-P1-Textdata/2014/QTR4/20141001_10-K-A_edgar_data_1560385_0001560385-14-000057_1.txt,102927,LIBERTY MEDIA CORP,20131231,20141001,20140930,13608,0.249853028,1.403586126,1.043503821,0.57319224,0.213109935,0.301293357,0.19106408,0.984714874,78646,3872,1122,1.838183422,5.458333333,1599
G:/NLP-P1-Textdata/2014/QTR4/20141001_10-K-A_edgar_data_38079_0000038079-14-000080_1.txt,380504,FOREST OIL CORP,20131231,20141001,20141001,50908,0.445902412,1.989864069,1.292527697,0.990021215,0.514653885,0.339828711,0.284827532,0.970377937,288160,9205,3195,1.847175297,5.445745266,3017
G:/NLP-P1-Textdata/2014/QTR4/20141001_10-K_edgar_data_1020859_0001020859-14-000183_1.txt,341817,UNITED NATURAL FOODS INC,20140802,20141001,20141001,45647,0.718557627,1.353867724,1.49407409,0.97487239,0.549871843,0.24974259,0.251933314,0.803995881,261066,7311,2515,1.862093894,5.50759086,3114
G:/NLP-P1-Textdata/2014/QTR4/20141001_10-K_edgar_data_1400000_0001211524-14-000096_1.txt,405749,"ABAKAN, INC",20140531,20141001,20141001,48782,0.778975852,1.402156533,0.744126932,0.774875979,0.268541675,0.319790087,0.323889959,0.623180681,285006,19088,5237,1.83288918,5.485568447,3794
G:/NLP-P1-Textdata/2014/QTR4/20141001_10-K_edgar_data_1414295_0001255294-14-001031_1.txt,126581,"OXFORD CITY FOOTBALL CLUB, INC.",20140630,20141001,20141001,16750,0.728358209,0.991044776,0.746268657,0.614925373,0.197014925,0.185074627,0.4,0.471641791,95487,3937,1163,1.809970149,5.377134328,2013
G:/NLP-P1-Textdata/2014/QTR4/20141001_10-K_edgar_data_1582741_0000946283-14-000021_1.txt,91730,TOA CARBON FIBER INC.,20140731,20141001,20141001,11889,0.513079317,1.421482042,1.042980907,0.975691816,0.336445454,0.361678863,0.328034317,0.647657499,69536,2140,710,1.885187989,5.536882833,1555
G:/NLP-P1-Textdata/2014/QTR4/20141001_10-Q-A_edgar_data_1333170_0001193125-14-360925_1.txt,245730,"NXSTAGE MEDICAL, INC.",20140331,20141001,20141001,33457,0.845861853,2.830498849,1.611023104,1.877036196,1.073019099,0.319813492,0.49914816,0.965418298,192151,2645,909,1.852945572,5.526108139,2975
G:/NLP-P1-Textdata/2014/QTR4/20141001_10-Q-A_edgar_data_1516522_0001014897-14-000415_1.txt,81661,PRIMCO MANAGEMENT INC.,20140630,20141001,20140930,10060,0.188866799,1.242544732,0.825049702,0.92445328,0.198807157,0.298210736,0.41749503,0.576540755,58611,3431,956,1.849801193,5.437077535,1396
G:/NLP-P1-Textdata/2014/QTR4/20141001_10-Q-A_edgar_data_319016_0001477932-14-005224_1.txt,37273,"FUSE MEDICAL, INC.",20140630,20141001,20141001,4972,0.341914722,2.835880933,0.462590507,3.01689461,0.362027353,0.181013677,0.603378922,0.522928399,28622,775,256,1.840104586,5.442477876,934
G:/NLP-P1-Textdata/2014/QTR4/20141001_10-Q-A_edgar_data_38079_0000038079-14-000081_1.txt,142226,FOREST OIL CORP,20140331,20141001,20141001,18892,0.35464747,2.143764556,1.148634343,0.783400381,0.396993436,0.333474487,0.312301503,0.825746348,106181,3527,1219,1.843319924,5.462841414,1751
G:/NLP-P1-Textdata/2014/QTR4/20141001_10-Q-A_edgar_data_38079_0000038079-14-000082_2.txt,188376,FOREST OIL CORP,20140630,20141001,20141001,24796,0.383126311,2.238264236,1.197773834,1.105016938,0.475883207,0.318599774,0.346830134,0.77028553,140069,5185,1837,1.835497661,5.435352476,2000
G:/NLP-P1-Textdata/2014/QTR4/20141001_10-Q_edgar_data_1300867_0001354488-14-004893_1.txt,56748,ON4 COMMUNICATIONS INC.,20140731,20141001,20141001,7407,0.445524504,1.174564601,0.891049008,0.85054678,0.297016336,0.324017821,0.499527474,0.526528959,42373,2308,660,1.840691238,5.435128932,1114
G:/NLP-P1-Textdata/2014/QTR4/20141001_10-Q_edgar_data_1504876_0001213900-14-007054_1.txt,56068,5V INC.,20140331,20141001,20141001,7255,0.661612681,1.212956582,1.130254997,0.675396278,0.399724328,0.441075121,0.399724328,0.689179876,41507,1717,492,1.869055824,5.485044797,1209
