file name,file size,company name,conformed period of report,filed as of date,date as of change,number of words,% positive,% negative,% uncertainty,% litigious,% modal-weak,% modal moderate,% modal strong,% constraining,# of alphabetic,# of digits,# of numbers,avg # of syllables per word,average word length,vocabulary
G:/NLP-P1-Textdata/2010/QTR2/20100401_10-K-A_edgar_data_1051473_0001144204-10-017858_1.txt,201685,WESTERN RESERVE BANCORP INC,20091231,20100401,20100401,26408,0.5680096940321115,1.47682520448349,1.136019388064223,0.9088155104513783,0.3408058164192669,0.37867312935474096,0.2650711905483187,0.8785216601029991,152359,6121,1786,1.848417146319297,5.448197515904272,2396
G:/NLP-P1-Textdata/2010/QTR2/20100401_10-K-A_edgar_data_1104254_0001096906-10-000393_1.txt,106488,HUDSONS GRILL INTERNATIONAL INC,20091231,20100401,20100401,12297,1.0409042855981134,1.528828169472229,1.2198097096852891,0.6505651784988209,0.4716597544116451,0.6993575668862324,0.6912255021549972,0.4716597544116451,70818,2787,803,1.8764739367325365,5.5008538667967795,1543
G:/NLP-P1-Textdata/2010/QTR2/20100401_10-K-A_edgar_data_1163165_0000950123-10-031454_1.txt,132386,CONOCOPHILLIPS,20091231,20100401,20100401,17649,0.3966230381324721,1.0708822029576748,1.025553855742535,1.1785370275936313,0.18697943226245112,0.32296447390787014,0.13031899824352655,0.6969233384327724,103052,3797,1242,1.8501898124539633,5.49577879766559,1930
G:/NLP-P1-Textdata/2010/QTR2/20100401_10-K-A_edgar_data_1262768_0001193125-10-073907_1.txt,199871,"DIVERSEY HOLDINGS, INC.",20091231,20100401,20100331,24479,0.5392377139589036,1.4216267004371093,0.8251971077249888,0.759834960578455,0.13889456268638425,0.25736345438947666,0.17566077045630948,0.6985579476285796,148061,7069,2308,1.8851668777319335,5.519996731892642,2013
G:/NLP-P1-Textdata/2010/QTR2/20100401_10-K-A_edgar_data_1324736_0001354488-10-001071_1.txt,124169,HOLLOMAN ENERGY CORP,20091231,20100401,20100401,16414,0.46301937370537344,1.4377970025587912,1.0905324722797614,0.5422200560497137,0.396003411721701,0.38381869136103325,0.23150968685268672,0.792006823443402,93754,3533,1021,1.8113196052150604,5.373461679054466,1819
G:/NLP-P1-Textdata/2010/QTR2/20100401_10-K-A_edgar_data_1345111_0001193125-10-073753_1.txt,318395,TIM HORTONS INC.,20100103,20100401,20100331,42194,0.8958619708963359,1.1802625965777125,0.7536616580556478,1.0830923828032422,0.3720908185998009,0.31995070389154856,0.3507607716736977,0.6730814807792578,244815,6202,1931,1.8492202682845902,5.488149973929943,2929
G:/NLP-P1-Textdata/2010/QTR2/20100401_10-K-A_edgar_data_1353499_0001213900-10-001265_1.txt,121154,"SO ACT NETWORK, INC.",20091231,20100401,20100401,16021,0.43068472629673554,0.6803570313962923,0.630422570376381,0.6741152237688034,0.156045190687223,0.1810124211971787,0.3994756881592909,0.36826665002184633,88516,5542,1622,1.7358467012046688,5.1969914487235505,1676
G:/NLP-P1-Textdata/2010/QTR2/20100401_10-K-A_edgar_data_1434830_0001437749-10-000917_1.txt,155097,GMS CAPITAL CORP.,20091231,20100401,20100401,21288,0.8314543404735062,1.7098835024426908,1.399849680571214,0.6952273581360391,0.6952273581360391,0.46974821495678315,0.5636978579481398,0.8032694475760991,122313,3092,1037,1.857008643367155,5.492671927846674,2195
G:/NLP-P1-Textdata/2010/QTR2/20100401_10-K-A_edgar_data_748790_0001144204-10-017764_1.txt,246230,"GLOBAL CLEAN ENERGY HOLDINGS, INC.",20091231,20100401,20100331,33339,0.6658867992441285,1.1997960346741054,1.1668016437205675,0.6058969975104233,0.4679204535229011,0.29095053840847057,0.5219112750832359,0.42592759230930743,189885,6069,1713,1.8145115330393833,5.361888478958577,2663
G:/NLP-P1-Textdata/2010/QTR2/20100401_10-K-A_edgar_data_815353_0001144204-10-017968_1.txt,335569,EMERALD DAIRY INC,20091231,20100401,20100401,46038,0.6972500977453407,1.5617533342021808,1.4140492636517659,0.9101177288327035,0.6668404361614318,0.3084408532082193,0.5256527216647118,0.6147095877318737,255536,8787,2684,1.7914331639080758,5.325253051826752,3161
G:/NLP-P1-Textdata/2010/QTR2/20100401_10-K-A_edgar_data_859070_0001144204-10-018117_1.txt,31088,FIRST COMMUNITY BANCSHARES INC /NV/,20091231,20100401,20100401,3695,0.5412719891745602,1.9485791610284169,0.5953991880920162,1.1907983761840324,0.3247631935047361,0.16238159675236805,0.18944519621109607,1.3531799729364005,21817,1068,323,1.8684709066305818,5.453044654939107,520
