file name,file size,company name,conformed period of report,filed as of date,date as of change,number of words,% positive,% negative,% uncertainty,% litigious,% modal-weak,% modal moderate,% modal strong,% constraining,# of alphabetic,# of digits,# of numbers,avg # of syllables per word,average word length,vocabulary
G:/NLP-P1-Textdata/2010/QTR1/20100104_10-K-A_edgar_data_1314772_0001104659-10-000158_1.txt,218673,"SUMMER INFANT, INC.",20081231,20100104,20100104,29155,0.6894186245926942,1.1387412107700223,1.2244897959183674,0.761447436117304,0.4527525295832619,0.3155547933459098,0.2915451895043732,0.6997084548104956,168394,5261,1673,1.8429428914422912,5.470245240953524,2611
G:/NLP-P1-Textdata/2010/QTR1/20100104_10-K-A_edgar_data_1435224_0001165527-10-000001_1.txt,88843,"HPC ACQUISITIONS, INC.",20081231,20100104,20100104,11925,1.0649895178197064,1.29979035639413,1.7442348008385744,0.5534591194968553,0.6457023060796646,0.4528301886792453,0.6624737945492662,0.6540880503144654,68902,1693,529,1.8955136268343815,5.538867924528302,1584
G:/NLP-P1-Textdata/2010/QTR1/20100104_10-K_edgar_data_1088787_0001448788-09-000244_1.txt,324461,"CHINA DIRECT INDUSTRIES, INC.",20090930,20100104,20091231,42778,0.4698676889990182,1.8794707559960728,1.1267473935200338,0.9093459254757118,0.48389359016316796,0.2688297723128711,0.3366216279395951,0.7059703585955398,249690,8895,2718,1.8821123007153209,5.497475337790453,2908
G:/NLP-P1-Textdata/2010/QTR1/20100104_10-K_edgar_data_12040_0000914317-10-000003_1.txt,190850,FLANIGANS ENTERPRISES INC,20091003,20100104,20100104,25739,0.39628579198881075,1.2432495434943083,1.1577761373790745,0.7381794164497455,0.4351373402230079,0.24476475387544194,0.37297486304829247,0.5905435331597964,147055,5538,1725,1.822603830762656,5.412448036054236,2144
G:/NLP-P1-Textdata/2010/QTR1/20100104_10-K_edgar_data_1385329_0001062993-10-000002_1.txt,141355,SILVERSTAR MINING CORP.,20090930,20100104,20100104,18281,0.5251353864668235,1.2854876647885782,1.323778786718451,0.979158689349598,0.4102620206772058,0.3993217001258137,0.48684426453695095,0.6400087522564412,105690,3691,1166,1.8514851485148516,5.4696679612712655,1950
G:/NLP-P1-Textdata/2010/QTR1/20100104_10-K_edgar_data_1418196_0001432093-10-000006_1.txt,64514,"BIDFISH.COM, INC.",20090831,20100104,20100104,8598,0.535008141428239,1.5817632007443592,0.942079553384508,1.139799953477553,0.38381018841591064,0.2907652942544778,0.40707141195626895,0.52337752965806,49031,1764,545,1.8355431495696675,5.418120493137939,1396
G:/NLP-P1-Textdata/2010/QTR1/20100104_10-K_edgar_data_1446414_0001161697-09-001278_1.txt,106665,"XTRASAFE, INC.",20090831,20100104,20091231,12787,0.6803785094236334,1.040118870728083,1.2356299366544148,0.7585829357941659,0.3440994760303433,0.4144834597638226,0.7194807226088996,0.48486744349730193,73724,2688,927,1.8640807069680143,5.521076092906859,1625
G:/NLP-P1-Textdata/2010/QTR1/20100104_10-K_edgar_data_779544_0000930413-10-000001_1.txt,165566,ARK RESTAURANTS CORP,20091003,20100104,20100104,22107,0.7192292034197313,1.8139050979327813,1.6827249287555979,0.7825575609535441,0.7554168362961957,0.38901705342199305,0.25783688424480933,0.7554168362961957,127465,3687,1147,1.8614918351653322,5.462251775455738,2178
G:/NLP-P1-Textdata/2010/QTR1/20100104_10-Q-A_edgar_data_1415998_0001023175-10-000003_1.txt,18170,NATIONAL AUTOMATION SERVICES INC,20090930,20100104,20100104,2212,0.0,0.949367088607595,0.27124773960216997,0.6329113924050633,0.18083182640144665,0.13562386980108498,0.09041591320072333,0.6329113924050633,13229,831,230,1.852622061482821,5.481012658227848,486
G:/NLP-P1-Textdata/2010/QTR1/20100104_10-Q-A_edgar_data_1449574_0001137050-10-000001_1.txt,71183,"ECRYPT TECHNOLOGIES, INC.",20090630,20100104,20100104,8980,0.734966592427617,1.0579064587973273,0.7683741648106904,0.6347438752783964,0.11135857461024498,0.289532293986637,0.5011135857461024,0.5567928730512249,53177,2628,897,1.8743875278396436,5.5738307349665925,1220
G:/NLP-P1-Textdata/2010/QTR1/20100104_10-Q-A_edgar_data_746834_0000950123-10-000175_1.txt,83525,NGAS RESOURCES INC,20090331,20100104,20100104,11333,0.60001764757787,1.0235595164563662,1.085326039001147,0.6176652254478072,0.17647577869937353,0.21177093443924822,0.23824230124415424,0.8559075266919616,65310,2410,732,1.8271419747639637,5.486367246095473,1526
G:/NLP-P1-Textdata/2010/QTR1/20100104_10-Q-A_edgar_data_746834_0000950123-10-000181_2.txt,87149,NGAS RESOURCES INC,20090630,20100104,20100104,11753,0.6126095464987663,1.003998978984089,0.8593550582829916,0.723219603505488,0.12762698885390966,0.17016931847187952,0.19569471624266144,0.6636603420403301,67983,2650,809,1.8288947502765251,5.486769335488812,1473
G:/NLP-P1-Textdata/2010/QTR1/20100104_10-Q-A_edgar_data_746834_0000950123-10-000186_3.txt,85689,NGAS RESOURCES INC,20090930,20100104,20100104,11588,0.6472212633759061,0.9837763203313773,0.8802209181912324,0.6472212633759061,0.16396272005522955,0.15533310321021745,0.17259233690024164,0.6817397307559544,66852,2498,753,1.8214532274767001,5.47825336555057,1492
G:/NLP-P1-Textdata/2010/QTR1/20100104_10-Q_edgar_data_100412_0000100412-10-000003_1.txt,49232,250 WEST 57TH ST ASSOCIATES L.L.C.,20090930,20100104,20100104,5936,0.5053908355795148,1.1287061994609164,0.589622641509434,0.6738544474393532,0.21900269541778977,0.3369272237196766,0.1853099730458221,0.4211590296495957,35156,1724,447,1.86455525606469,5.514487870619946,936
