Date,vwretx,vwindx
20101006,-0.000786,1061.023
20101007,-0.00205,1058.847
20101008,0.007609,1066.905
20101011,0.000543,1067.484
20101012,0.003821,1071.562
20101013,0.008589,1080.766
20101014,-0.003839,1076.616
20101015,0.000813,1077.492
20101018,0.006419,1084.409
20101019,-0.017194,1065.763
20101020,0.011173,1077.671
20101021,0.000379,1078.08
20101022,0.002632,1080.917
20101025,0.003627,1084.838
20101026,-0.000396,1084.409
20101027,-0.003329,1080.798
20101028,0.000921,1081.794
20101029,0.001583,1083.506
20101101,0.000105,1083.62
20101102,0.009038,1093.414
20101103,0.003313,1097.036
20101104,0.019792,1118.749
20101105,0.004096,1123.331
20101108,-0.001053,1122.148
20101109,-0.008679,1112.409
20101110,0.005231,1118.228
20101111,-0.003628,1114.171
20101112,-0.013378,1099.265
20101115,-0.001316,1097.819
20101116,-0.017116,1079.029
20101117,0.001458,1080.602
20101118,0.01555,1097.405
20101119,0.003718,1101.486
20101122,-0.00036,1101.09
20101123,-0.014186,1085.47
20101124,0.015818,1102.641
20101126,-0.006918,1095.013
20101129,-0.001248,1093.647
20101130,-0.005943,1087.147
20101201,0.02088,1109.847
20101202,0.012295,1123.492
20101203,0.003764,1127.721
20101206,-0.000071,1127.64
20101207,0.000332,1128.015
20101208,0.001494,1129.7
20101209,0.003605,1133.773
20101210,0.006531,1141.177
20101213,-0.000239,1140.904
20101214,0.000271,1141.213
20101215,-0.005187,1135.294
20101216,0.005813,1141.894
20101217,0.001536,1143.647
20101220,0.001826,1145.736
20101221,0.00709,1153.859
20101222,0.003085,1157.418
20101223,-0.001273,1155.945
20101227,0.000672,1156.722
20101228,0.000684,1157.513
20101229,0.002375,1160.262
20101230,-0.000859,1159.266
20101231,-0.00043,1158.768
20110103,0.01138,1171.955
20110104,-0.003909,1167.374
20110105,0.005515,1173.812
20110106,-0.002672,1170.676
20110107,-0.001896,1168.456
20110110,-0.000706,1167.631
20110111,0.004995,1173.463
20110112,0.008865,1183.866
20110113,-0.001824,1181.706
20110114,0.006809,1189.752
20110118,0.002117,1192.27
20110119,-0.012565,1177.289
20110120,-0.003677,1172.959
20110121,0.001361,1174.556
20110124,0.006363,1182.03
20110125,-0.000415,1181.539
20110126,0.007328,1190.197
20110127,0.002184,1192.796
20110128,-0.017493,1171.931
20110131,0.007673,1180.923
20110201,0.01716,1201.188
20110202,-0.002371,1198.339
20110203,0.002826,1201.726
20110204,0.002243,1204.421
20110207,0.006264,1211.966
20110208,0.004389,1217.285
20110209,-0.003469,1213.062
20110210,0.001411,1214.774
20110211,0.006013,1222.078
20110214,0.003288,1226.096
20110215,-0.003363,1221.972
20110216,0.007429,1231.05
20110217,0.003821,1235.754
20110218,0.001137,1237.16
20110222,-0.02126,1210.858
20110223,-0.006815,1202.606
20110224,-0.000241,1202.315
20110225,0.012784,1217.686
20110228,0.00529,1224.127
20110301,-0.015213,1205.505
20110302,0.002645,1208.694
20110303,0.0163,1228.395
20110304,-0.006104,1220.897
20110307,-0.009552,1209.234
20110308,0.008029,1218.943
20110309,-0.002676,1215.681
20110310,-0.019902,1191.487
20110311,0.006729,1199.504
20110314,-0.005628,1192.754
20110315,-0.011116,1179.495
20110316,-0.016857,1159.612
20110317,0.012242,1173.808
20110318,0.004781,1179.421
20110321,0.016558,1198.949
20110322,-0.003431,1194.835
20110323,0.002782,1198.16
20110324,0.008634,1208.504
20110325,0.003231,1212.41
20110328,-0.003345,1208.354
20110329,0.006997,1216.81
20110330,0.008157,1226.735
20110331,-0.000751,1225.814
20110401,0.005381,1232.41
20110404,0.000965,1233.6
20110405,0.001318,1235.226
20110406,0.001429,1236.992
20110407,-0.00233,1234.109
20110408,-0.003604,1229.662
20110411,-0.004685,1223.9
20110412,-0.009268,1212.558
20110413,0.001108,1213.901
20110414,0.000358,1214.336
20110415,0.003956,1219.14
20110418,-0.011683,1204.897
20110419,0.005685,1211.747
20110420,0.014261,1229.027
20110421,0.005831,1236.193
20110425,-0.001882,1233.866
20110426,0.008328,1244.141
20110427,0.005928,1251.517
20110428,0.00292,1255.171
20110429,0.003062,1259.014
20110502,-0.003503,1254.603
20110503,-0.006522,1246.42
20110504,-0.008053,1236.383
20110505,-0.009341,1224.834
20110506,0.004465,1230.303
20110509,0.006078,1237.78
20110510,0.008509,1248.312
20110511,-0.012644,1232.529
20110512,0.004034,1237.5
20110513,-0.008954,1226.42
20110516,-0.007133,1217.672
20110517,-0.000871,1216.611
20110518,0.010666,1229.587
20110519,0.002376,1232.509
20110520,-0.006948,1223.946
20110523,-0.013072,1207.947
20110524,-0.000604,1207.217
20110525,0.005055,1213.32
20110526,0.005131,1219.545
20110527,0.004842,1225.451
20110531,0.010288,1238.057
20110601,-0.023524,1208.933
20110602,-0.000755,1208.021
20110603,-0.009554,1196.479
20110606,-0.01265,1181.344
20110607,0.0001,1181.462
20110608,-0.006178,1174.163
20110609,0.00753,1183.005
20110610,-0.014103,1166.322
20110613,-0.001199,1164.923
20110614,0.013931,1181.151
20110615,-0.017528,1160.448
20110616,-0.000122,1160.307
20110617,0.002098,1162.741
20110620,0.0055,1169.136
20110621,0.015966,1187.803
20110622,-0.005571,1181.185
20110623,-0.002478,1178.259
20110624,-0.010764,1165.576
20110627,0.008248,1175.19
20110628,0.013605,1191.179
20110629,0.008642,1201.472
20110630,0.009841,1213.296
20110701,0.013614,1229.813
20110705,-0.000155,1229.623
20110706,0.000927,1230.763
20110707,0.010681,1243.908
20110708,-0.006401,1235.946
20110711,-0.019551,1211.781
20110712,-0.003882,1207.077
20110713,0.004719,1212.774
20110714,-0.008148,1202.893
20110715,0.006219,1210.373
20110718,-0.009673,1198.666
20110719,0.016499,1218.442
20110720,-0.000186,1218.216
20110721,0.012396,1233.317
20110722,0.001328,1234.955
20110725,-0.006437,1227.005
20110726,-0.004797,1221.12
20110727,-0.022042,1194.203
20110728,-0.003121,1190.477
20110729,-0.005902,1183.45
20110801,-0.003604,1179.185
20110802,-0.026219,1148.268
20110803,0.004835,1153.82
20110804,-0.050938,1095.046
20110805,-0.004917,1089.661
20110808,-0.069958,1013.43
20110809,0.052018,1066.147
20110810,-0.039771,1023.745
20110811,0.046048,1070.886
20110812,0.004802,1076.029
20110815,0.02301,1100.789
20110816,-0.011306,1088.343
20110817,0.000514,1088.903
20110818,-0.046295,1038.492
20110819,-0.015869,1022.012
20110822,-0.00023,1021.777
20110823,0.034767,1057.301
20110824,0.012172,1070.171
20110825,-0.01626,1052.77
20110826,0.016461,1070.099
20110829,0.030189,1102.404
20110830,0.00347,1106.23
20110831,0.004947,1111.703
20110901,-0.012519,1097.786
20110902,-0.025351,1069.956
20110906,-0.008164,1061.221
20110907,0.029697,1092.736
20110908,-0.011189,1080.51
20110909,-0.026934,1051.407
20110912,0.004495,1056.133
20110913,0.010652,1067.383
20110914,0.013177,1081.448
20110915,0.015741,1098.471
20110916,0.003557,1102.378
20110919,-0.010793,1090.48
20110920,-0.004338,1085.75
20110921,-0.029814,1053.38
20110922,-0.034516,1017.021
20110923,0.006159,1023.285
20110926,0.022167,1045.969
20110927,0.012727,1059.28
20110928,-0.024169,1033.678
20110929,0.008148,1042.101
20110930,-0.024863,1016.191
20111003,-0.032829,982.8306
20111004,0.024278,1006.692
20111005,0.019621,1026.445
20111006,0.020649,1047.64
20111007,-0.011112,1035.999
20111010,0.034638,1071.884
20111011,0.001103,1073.066
20111012,0.011705,1085.626
20111013,-0.003025,1082.342
20111014,0.018013,1101.838
20111017,-0.021123,1078.563
20111018,0.021178,1101.405
20111019,-0.014399,1085.546
20111020,0.00417,1090.073
20111021,0.019406,1111.228
20111024,0.016711,1129.797
20111025,-0.02039,1106.76
20111026,0.011596,1119.595
20111027,0.036296,1160.231
20111028,0.000232,1160.5
20111031,-0.024738,1131.792
20111101,-0.029156,1098.793
20111102,0.017093,1117.575
20111103,0.019296,1139.14
20111104,-0.005659,1132.693
20111107,0.00478,1138.107
20111108,0.011001,1150.627
20111109,-0.038325,1106.53
20111110,0.007414,1114.733
20111111,0.019961,1136.984
20111114,-0.009531,1126.147
20111115,0.00442,1131.125
20111116,-0.01541,1113.694
20111117,-0.017313,1094.413
20111118,-0.000416,1093.958
20111121,-0.018791,1073.401
20111122,-0.004394,1068.685
20111123,-0.023562,1043.504
20111125,-0.003732,1039.61
20111128,0.030679,1071.504
20111129,0.00202,1073.668
20111130,0.044301,1121.233
20111201,-0.002317,1118.634
20111202,0.000086,1118.731
20111205,0.01047,1130.444
20111206,0.000441,1130.943
20111207,0.001611,1132.765
20111208,-0.023089,1106.611
20111209,0.017977,1126.504
20111212,-0.015488,1109.057
20111213,-0.011598,1096.194
20111214,-0.012846,1082.112
20111215,0.003695,1086.11
20111216,0.004924,1091.458
20111219,-0.012798,1077.49
20111220,0.030226,1110.058
20111221,0.002038,1112.32
20111222,0.008904,1122.224
20111223,0.008014,1131.218
20111227,0.000067,1131.294
20111228,-0.013967,1115.493
20111229,0.010876,1127.624
20111230,-0.002751,1124.522
20120103,0.016072,1142.596
20120104,-0.000571,1141.944
20120105,0.003082,1145.464
20120106,-0.003102,1141.91
20120109,0.00281,1145.119
20120110,0.010403,1157.032
20120111,0.000847,1158.011
20120112,0.003057,1161.552
20120113,-0.005346,1155.341
20120117,0.003804,1159.737
20120118,0.012262,1173.958
20120119,0.005642,1180.582
20120120,0.000818,1181.547
20120123,0.001523,1183.346
20120124,-0.000848,1182.343
20120125,0.009861,1194.002
20120126,-0.005145,1187.859
20120127,0.000431,1188.371
20120130,-0.003668,1184.012
20120131,-0.000203,1183.772
20120201,0.011079,1196.887
20120202,0.001687,1198.906
20120203,0.014914,1216.787
20120206,-0.000914,1215.675
20120207,0.001284,1217.236
20120208,0.001957,1219.618
20120209,0.001046,1220.893
20120210,-0.008348,1210.701
20120213,0.007233,1219.458
20120214,-0.001651,1217.444
20120215,-0.00469,1211.734
20120216,0.012576,1226.972
20120217,0.001343,1228.62
20120221,0.000041,1228.671
20120222,-0.003372,1224.528
20120223,0.005675,1231.478
20120224,0.001382,1233.179
20120227,0.000869,1234.251
20120228,0.002645,1237.515
20120229,-0.00556,1230.634
20120301,0.006732,1238.919
20120302,-0.005026,1232.692
20120305,-0.004558,1227.074
20120306,-0.017414,1205.705
20120307,0.007759,1215.06
20120308,0.010728,1228.095
20120309,0.0046,1233.745
20120312,-0.001341,1232.091
20120313,0.017599,1253.775
20120314,-0.003749,1249.075
20120315,0.006546,1257.251
20120316,0.00129,1258.873
20120319,0.004125,1264.065
20120320,-0.004408,1258.494
20120321,-0.001191,1256.995
20120322,-0.008192,1246.697
20120323,0.004421,1252.208
20120326,0.014072,1269.83
20120327,-0.003777,1265.034
20120328,-0.00574,1257.772
20120329,-0.001937,1255.336
20120330,0.003273,1259.445
20120402,0.008004,1269.525
20120403,-0.004512,1263.797
20120404,-0.011828,1248.848
20120405,-0.001127,1247.441
20120409,-0.011648,1232.911
20120410,-0.018385,1210.244
20120411,0.008486,1220.513
20120412,0.015145,1238.998
20120413,-0.012538,1223.463
20120416,-0.000607,1222.72
20120417,0.015257,1241.375
20120418,-0.004053,1236.344
20120419,-0.004805,1230.403
20120420,0.001538,1232.296
20120423,-0.009623,1220.437
20120424,0.003249,1224.403
20120425,0.013997,1241.541
20120426,0.006751,1249.922
20120427,0.003913,1254.813
20120430,-0.004422,1249.265
20120501,0.004937,1255.432
