file name,file size,company name,conformed period of report,filed as of date,date as of change,number of words,% positive,% negative,% uncertainty,% litigious,% modal-weak,% modal moderate,% modal strong,% constraining,# of alphabetic,# of digits,# of numbers,avg # of syllables per word,average word length,vocabulary
../Data/filtered_textdata/2015/QTR1/20150225_10-K_edgar_data_34088_0000034088-15-000013_1.txt,358729,EXXON MOBIL CORP,20141231,20150225,20150225,21761,4.797573640917237,1.6083819677404532,0.0,0.0,0.0,0.0,0.0,0.0,267834,8211,2941,0,4.930517898993612,1036
../Data/filtered_textdata/2015/QTR1/20150212_10-K_edgar_data_86312_0001047469-15-000743_1.txt,1226429,"TRAVELERS COMPANIES, INC.",20141231,20150212,20150212,80063,5.767957733285038,3.4285500168617213,0.0,0.0,0.0,0.0,0.0,0.0,944947,17380,6118,0,4.821253263055344,1424
../Data/filtered_textdata/2015/QTR1/20150217_10-K_edgar_data_18230_0000018230-15-000061_1.txt,936797,CATERPILLAR INC,20141231,20150217,20150217,61111,5.529282780514146,2.233640424800772,0.0,0.0,0.0,0.0,0.0,0.0,712851,14571,5237,0,4.946703539460981,1370
../Data/filtered_textdata/2015/QTR1/20150224_10-K_edgar_data_19617_0000019617-15-000272_1.txt,1026045,JPMORGAN CHASE & CO,20141231,20150224,20150224,60910,5.475291413560992,2.674437694959777,0.0,0.0,0.0,0.0,0.0,0.0,800923,14320,5148,0,4.671301920866853,1302
../Data/filtered_textdata/2015/QTR1/20150227_10-K_edgar_data_78003_0000078003-15-000014_1.txt,744520,PFIZER INC,20141231,20150227,20150227,46056,5.601875977071391,2.468733715476811,0.0,0.0,0.0,0.0,0.0,0.0,566934,12644,4003,0,4.82823084940073,1324
../Data/filtered_textdata/2015/QTR1/20150223_10-K_edgar_data_886982_0001193125-15-056785_1.txt,1372279,GOLDMAN SACHS GROUP INC,20141231,20150223,20150220,89176,5.660715887682785,2.2405131425495646,0.0,0.0,0.0,0.0,0.0,0.0,1077283,16612,6121,0,4.6235422086660085,1488
../Data/filtered_textdata/2015/QTR1/20150224_10-K_edgar_data_4962_0001193125-15-059931_1.txt,802281,AMERICAN EXPRESS CO,20141231,20150224,20150224,51025,5.62469377756002,2.1969622733953944,0.0,0.0,0.0,0.0,0.0,0.0,630110,10375,3692,0,4.773424791768741,1392
../Data/filtered_textdata/2015/QTR1/20150210_10-K_edgar_data_731766_0000731766-15-000007_1.txt,446437,UNITEDHEALTH GROUP INC,20141231,20150210,20150210,26565,7.750799924712968,1.6186711838885752,0.0,0.0,0.0,0.0,0.0,0.0,344429,7021,2441,0,4.865349143610013,1179
../Data/filtered_textdata/2015/QTR1/20150224_10-K_edgar_data_51143_0001047469-15-001106_1.txt,748926,INTERNATIONAL BUSINESS MACHINES CORP,20141231,20150224,20150224,46171,4.645773320915726,1.4208052673756255,0.0,0.0,0.0,0.0,0.0,0.0,571434,14691,5170,0,4.737670832340647,1308
../Data/filtered_textdata/2015/QTR1/20150223_10-K_edgar_data_732712_0001193125-15-057710_1.txt,775046,VERIZON COMMUNICATIONS INC,20141231,20150223,20150223,50162,6.421195327140067,1.9297476177185917,0.0,0.0,0.0,0.0,0.0,0.0,607218,11999,4125,0,4.670148718153183,1340
../Data/filtered_textdata/2015/QTR1/20150220_10-K_edgar_data_93410_0000093410-15-000010_1.txt,439987,CHEVRON CORP,20141231,20150220,20150220,27859,4.023834308481999,1.938332316307118,0.0,0.0,0.0,0.0,0.0,0.0,332537,11948,3812,0,4.657381815571269,1086
../Data/filtered_textdata/2015/QTR1/20150213_10-K_edgar_data_50863_0000050863-15-000015_1.txt,395393,INTEL CORP,20141227,20150213,20150213,25146,5.12606378748111,2.4337866857551895,0.0,0.0,0.0,0.0,0.0,0.0,303624,7122,2347,0,4.61707627455659,1060
../Data/filtered_textdata/2015/QTR1/20150224_10-K_edgar_data_200406_0000200406-15-000004_1.txt,343351,JOHNSON & JOHNSON,20141228,20150224,20150223,20639,4.772518048355056,2.8732012209893893,0.0,0.0,0.0,0.0,0.0,0.0,259713,7812,2563,0,4.82169678763506,991
../Data/filtered_textdata/2015/QTR1/20150212_10-K_edgar_data_66740_0001104659-15-009560_1.txt,416700,3M CO,20141231,20150212,20150212,24879,5.313718397041682,2.3674584991358176,0.0,0.0,0.0,0.0,0.0,0.0,315960,10007,3205,0,4.844205956831062,1063
../Data/filtered_textdata/2015/QTR1/20150224_10-K_edgar_data_63908_0000063908-15-000016_1.txt,238802,MCDONALDS CORP,20141231,20150224,20150224,14362,5.716474028686813,1.9704776493524578,0.0,0.0,0.0,0.0,0.0,0.0,183379,5212,1687,0,4.818200807686952,872
../Data/filtered_textdata/2015/QTR1/20150227_10-K_edgar_data_310158_0000310158-15-000005_1.txt,766734,"MERCK & CO., INC.",20141231,20150227,20150227,49048,5.221415755994128,2.413961833306149,0.0,0.0,0.0,0.0,0.0,0.0,591505,13648,4617,0,4.782029848311858,1326
../Data/filtered_textdata/2015/QTR1/20150212_10-K_edgar_data_12927_0000012927-15-000011_1.txt,339409,BOEING CO,20141231,20150212,20150212,20872,5.1648141050210805,1.882905327711767,0.0,0.0,0.0,0.0,0.0,0.0,259187,8299,2695,0,4.824885013415102,944
../Data/filtered_textdata/2015/QTR1/20150227_10-K_edgar_data_40545_0000040545-15-000030_1.txt,564075,GENERAL ELECTRIC CO,20150227,20150227,20150227,34755,5.061142281686088,2.022730542368005,0.0,0.0,0.0,0.0,0.0,0.0,443922,13608,4626,0,4.809149762624083,1190
../Data/filtered_textdata/2015/QTR1/20150326_10-K_edgar_data_354950_0000354950-15-000008_1.txt,246997,HOME DEPOT INC,20150201,20150326,20150326,16211,5.4222441552032565,2.0850040096230953,0.0,0.0,0.0,0.0,0.0,0.0,187835,6266,2078,0,4.674418604651163,862
../Data/filtered_textdata/2015/QTR1/20150225_10-K_edgar_data_21344_0000021344-15-000005_1.txt,684399,COCA COLA CO,20141231,20150225,20150225,44348,5.116352484892216,1.9437178677730675,0.0,0.0,0.0,0.0,0.0,0.0,529688,12221,4326,0,4.575155587625146,1271
../Data/filtered_textdata/2015/QTR1/20150205_10-K_edgar_data_101829_0000101829-15-000005_1.txt,590963,UNITED TECHNOLOGIES CORP /DE/,20141231,20150205,20150205,38778,4.9693124967765225,1.6272113053793387,0.0,0.0,0.0,0.0,0.0,0.0,455793,12023,4009,0,4.848625509309402,1212
