file name,file size,company name,conformed period of report,filed as of date,date as of change,number of words,% positive,% negative,% uncertainty,% litigious,% modal-weak,% modal moderate,% modal strong,% constraining,# of alphabetic,# of digits,# of numbers,avg # of syllables per word,average word length,vocabulary
../Data/filtered_textdata/2014/QTR1/20140227_10-K_edgar_data_732712_0001193125-14-073266_1.txt,559162,VERIZON COMMUNICATIONS INC,20131231,20140227,20140227,35408,6.258472661545414,1.3669227293267059,0.0,0.0,0.0,0.0,0.0,0.0,437197,11136,3591,0,4.821622232263895,1199
../Data/filtered_textdata/2014/QTR1/20140212_10-K_edgar_data_731766_0000731766-14-000008_1.txt,503730,UNITEDHEALTH GROUP INC,20131231,20140212,20140212,30526,7.5050776387341935,1.6051890191967504,0.0,0.0,0.0,0.0,0.0,0.0,390584,7196,2517,0,4.842003537967634,1198
../Data/filtered_textdata/2014/QTR1/20140213_10-K_edgar_data_86312_0001047469-14-000854_1.txt,1118852,"TRAVELERS COMPANIES, INC.",20131231,20140213,20140213,72030,5.896154380119395,3.6401499375260307,0.0,0.0,0.0,0.0,0.0,0.0,863258,17057,5962,0,4.8289462723865055,1393
../Data/filtered_textdata/2014/QTR1/20140327_10-K_edgar_data_354950_0000354950-14-000008_1.txt,228638,HOME DEPOT INC,20140202,20140327,20140327,14991,5.429924621439531,1.507571209392302,0.0,0.0,0.0,0.0,0.0,0.0,172743,5926,1974,0,4.776399172837036,876
../Data/filtered_textdata/2014/QTR1/20140226_10-K_edgar_data_34088_0000034088-14-000012_1.txt,425044,EXXON MOBIL CORP,20131231,20140226,20140226,26493,5.129656890499377,1.6759143924810327,0.0,0.0,0.0,0.0,0.0,0.0,320492,8612,3170,0,4.94187143773827,1123
../Data/filtered_textdata/2014/QTR1/20140213_10-K_edgar_data_66740_0001104659-14-009773_1.txt,420847,3M CO,20131231,20140213,20140213,25179,5.417212756662297,2.3710234719409033,0.0,0.0,0.0,0.0,0.0,0.0,320271,10105,3242,0,4.833670916239724,1068
../Data/filtered_textdata/2014/QTR1/20140221_10-K_edgar_data_93410_0000093410-14-000011_1.txt,446576,CHEVRON CORP,20131231,20140221,20140221,27854,3.9096718604150213,1.9745817476843543,0.0,0.0,0.0,0.0,0.0,0.0,335104,12361,3979,0,4.663315861276657,1109
../Data/filtered_textdata/2014/QTR1/20140225_10-K_edgar_data_51143_0001047469-14-001302_1.txt,676164,INTERNATIONAL BUSINESS MACHINES CORP,20131231,20140225,20140225,40723,4.7565257962330865,1.340765660683152,0.0,0.0,0.0,0.0,0.0,0.0,517216,14112,4806,0,4.791862092674902,1221
../Data/filtered_textdata/2014/QTR1/20140228_10-K_edgar_data_78003_0000078003-14-000018_1.txt,916550,PFIZER INC,20131231,20140228,20140228,58659,5.552430147121499,2.316780033754411,0.0,0.0,0.0,0.0,0.0,0.0,699327,15288,4815,0,4.8344329088460425,1481
../Data/filtered_textdata/2014/QTR1/20140221_10-K_edgar_data_200406_0000200406-14-000033_1.txt,335239,JOHNSON & JOHNSON,20131229,20140221,20140221,20115,4.688043748446432,2.679592344021874,0.0,0.0,0.0,0.0,0.0,0.0,254023,7351,2433,0,4.826696495152871,976
../Data/filtered_textdata/2014/QTR1/20140206_10-K_edgar_data_101829_0000101829-14-000006_1.txt,445761,UNITED TECHNOLOGIES CORP /DE/,20131231,20140206,20140206,27052,5.267632707378382,1.6449800384444773,0.0,0.0,0.0,0.0,0.0,0.0,342807,10241,3414,0,4.934422593523585,1015
../Data/filtered_textdata/2014/QTR1/20140214_10-K_edgar_data_12927_0000012927-14-000004_1.txt,412485,BOEING CO,20131231,20140214,20140214,25933,5.12474453399144,1.9820306173601203,0.0,0.0,0.0,0.0,0.0,0.0,314784,9483,3197,0,4.813056723094127,1027
../Data/filtered_textdata/2014/QTR1/20140225_10-K_edgar_data_4962_0001193125-14-066777_1.txt,794037,AMERICAN EXPRESS CO,20131231,20140225,20140225,49502,5.549270736535897,2.12112641913458,0.0,0.0,0.0,0.0,0.0,0.0,624792,9830,3569,0,4.788432790594319,1376
../Data/filtered_textdata/2014/QTR1/20140218_10-K_edgar_data_18230_0000018230-14-000058_1.txt,843987,CATERPILLAR INC,20131231,20140218,20140218,54250,5.349308755760369,2.1493087557603685,0.0,0.0,0.0,0.0,0.0,0.0,638323,14470,5303,0,4.979447004608295,1239
../Data/filtered_textdata/2014/QTR1/20140227_10-K_edgar_data_310158_0000310158-14-000009_1.txt,610226,MERCK & CO. INC.,20131231,20140227,20140227,37522,5.8045946378124835,2.4465646820531957,0.0,0.0,0.0,0.0,0.0,0.0,470904,11426,3801,0,4.704440061830393,1258
../Data/filtered_textdata/2014/QTR1/20140227_10-K_edgar_data_21344_0000021344-14-000008_1.txt,644109,COCA COLA CO,20131231,20140227,20140227,41606,4.987261452675095,1.8002211219535644,0.0,0.0,0.0,0.0,0.0,0.0,497500,11798,4179,0,4.568764120559535,1208
../Data/filtered_textdata/2014/QTR1/20140227_10-K_edgar_data_40545_0000040554-14-000023_1.txt,615155,GENERAL ELECTRIC CO,20131231,20140227,20140227,39164,5.145031151057093,1.9890715963640078,0.0,0.0,0.0,0.0,0.0,0.0,482512,15943,5529,0,4.745608211622919,1183
../Data/filtered_textdata/2014/QTR1/20140220_10-K_edgar_data_19617_0000019617-14-000289_1.txt,1159437,JPMORGAN CHASE & CO,20131231,20140220,20140219,67016,5.401695117583861,2.566551271338188,0.0,0.0,0.0,0.0,0.0,0.0,883599,18190,6538,0,4.69389399546377,1359
../Data/filtered_textdata/2014/QTR1/20140321_10-K_edgar_data_104169_0000104169-14-000019_1.txt,482659,WAL MART STORES INC,20140131,20140321,20140321,31127,4.944260609760016,2.1588974202460887,0.0,0.0,0.0,0.0,0.0,0.0,371831,7974,2798,0,4.671924695601889,1156
../Data/filtered_textdata/2014/QTR1/20140224_10-K_edgar_data_63908_0000063908-14-000019_1.txt,239961,MCDONALDS CORP,20131231,20140224,20140224,14429,5.946358028969437,1.5247071869152402,0.0,0.0,0.0,0.0,0.0,0.0,183006,4953,1605,0,4.841638367177213,901
../Data/filtered_textdata/2014/QTR1/20140214_10-K_edgar_data_50863_0000050863-14-000020_1.txt,392188,INTEL CORP,20131228,20140214,20140214,24815,5.202498488817247,2.33326616965545,0.0,0.0,0.0,0.0,0.0,0.0,301550,7128,2348,0,4.6282893411243196,1052
../Data/filtered_textdata/2014/QTR1/20140228_10-K_edgar_data_886982_0001193125-14-073792_1.txt,1206914,GOLDMAN SACHS GROUP INC,20131231,20140228,20140227,76546,5.558748987536906,2.325399106419669,0.0,0.0,0.0,0.0,0.0,0.0,945113,15824,5892,0,4.642607059807175,1373
../Data/filtered_textdata/2014/QTR1/20140221_10-K_edgar_data_732717_0000732717-14-000010_1.txt,1009780,AT&T INC.,20131231,20140221,20140221,73407,4.562235209176237,1.6973858078929802,0.0,0.0,0.0,0.0,0.0,0.0,782642,17302,6179,0,4.764654596973041,1276
